cveent,entidad,pollutant,exp_type,temporality,cause,health_outcome,icd_10,age_group,reference,crf_type,analysis_type,total_erv,ab_erv_mean,ab_erv_lower,ab_erv_upper,paf
01,Aguascalientes,NO2,no_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,607,2.89,1.6,4.16,0.0048
01,Aguascalientes,NO2,no_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,896,2.95,1.69,4.2,0.0033
01,Aguascalientes,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,5103,21.77,3.47,38.6,0.0043
01,Aguascalientes,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,5103,28.54,3.47,52.92,0.0056
01,Aguascalientes,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,5103,28.54,3.47,52.92,0.0056
01,Aguascalientes,NO2,with_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,607,2.87,1.59,4.14,0.0047
01,Aguascalientes,NO2,with_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,896,2.93,1.68,4.17,0.0033
01,Aguascalientes,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,5103,21.47,3.43,38.06,0.0042
01,Aguascalientes,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,5103,28.15,3.43,52.19,0.0055
01,Aguascalientes,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,5103,28.15,3.43,52.19,0.0055
01,Aguascalientes,O3,no_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,607,26.99,6.13,49.75,0.0445
01,Aguascalientes,O3,no_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,896,35.64,22.49,48.56,0.0398
01,Aguascalientes,O3,with_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,606,27.08,6.15,49.91,0.0447
01,Aguascalientes,O3,with_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,894,35.74,22.55,48.69,0.04
01,Aguascalientes,PM25,no_og,short_term,asthma,ed_visits,j45_j46,total,ru_2023,lineal,main,896,28.39,17.44,40.23,0.0317
01,Aguascalientes,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,5103,106.99,31.15,183.62,0.021
01,Aguascalientes,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,5103,165.64,38.86,288.14,0.0325
01,Aguascalientes,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,5103,140.2,3.92,277.94,0.0275
01,Aguascalientes,PM25,with_og,short_term,asthma,ed_visits,j45_j46,total,ru_2023,lineal,main,896,28.41,17.45,40.26,0.0317
01,Aguascalientes,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,5103,106.82,31.1,183.34,0.0209
01,Aguascalientes,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,5103,165.39,38.81,287.69,0.0324
01,Aguascalientes,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,5103,139.98,3.91,277.5,0.0274
02,Baja California,NO2,no_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,684,0.6,0.33,0.87,9e-4
02,Baja California,NO2,no_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,1407,1.14,0.66,1.63,8e-4
02,Baja California,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,8101,6.57,1.05,11.65,8e-4
02,Baja California,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,8101,8.62,1.05,15.98,0.0011
02,Baja California,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,8101,8.62,1.05,15.98,0.0011
02,Baja California,NO2,with_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,684,0.6,0.33,0.86,9e-4
02,Baja California,NO2,with_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,1407,1.14,0.65,1.62,8e-4
02,Baja California,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,8101,6.5,1.04,11.53,8e-4
02,Baja California,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,8101,8.53,1.04,15.81,0.0011
02,Baja California,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,8101,8.53,1.04,15.81,0.0011
02,Baja California,O3,no_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,684,28.75,6.52,53.04,0.042
02,Baja California,O3,no_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,1407,51.96,32.76,70.83,0.0369
02,Baja California,O3,with_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,680,28.65,6.5,52.87,0.0421
02,Baja California,O3,with_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,1401,51.84,32.68,70.66,0.037
02,Baja California,PM25,no_og,short_term,asthma,ed_visits,j45_j46,total,ru_2023,lineal,main,1407,62.03,38.45,87.12,0.0441
02,Baja California,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,8101,251.5,74.19,426.53,0.031
02,Baja California,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,8101,385.81,92.43,659.58,0.0476
02,Baja California,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,8101,327.82,9.38,637.1,0.0405
02,Baja California,PM25,with_og,short_term,asthma,ed_visits,j45_j46,total,ru_2023,lineal,main,1407,61.6,38.18,86.52,0.0438
02,Baja California,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,8101,250.09,73.77,424.16,0.0309
02,Baja California,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,8101,383.66,91.91,655.97,0.0474
02,Baja California,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,8101,325.99,9.33,633.6,0.0402
03,Baja California Sur,NO2,no_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,135,0.17,0.1,0.25,0.0013
03,Baja California Sur,NO2,no_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,269,0.25,0.14,0.36,9e-4
03,Baja California Sur,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,1781,2.47,0.39,4.38,0.0014
03,Baja California Sur,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,1781,3.24,0.39,6.02,0.0018
03,Baja California Sur,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,1781,3.24,0.39,6.02,0.0018
03,Baja California Sur,NO2,with_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,135,0.17,0.1,0.25,0.0013
03,Baja California Sur,NO2,with_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,269,0.25,0.14,0.36,9e-4
03,Baja California Sur,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,1781,2.45,0.39,4.34,0.0014
03,Baja California Sur,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,1781,3.21,0.39,5.96,0.0018
03,Baja California Sur,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,1781,3.21,0.39,5.96,0.0018
03,Baja California Sur,O3,no_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,135,4.81,1.09,8.9,0.0356
03,Baja California Sur,O3,no_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,269,8.63,5.43,11.77,0.0321
03,Baja California Sur,O3,with_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,134,4.77,1.08,8.84,0.0356
03,Baja California Sur,O3,with_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,266,8.53,5.37,11.64,0.0321
03,Baja California Sur,PM25,no_og,short_term,asthma,ed_visits,j45_j46,total,ru_2023,lineal,main,269,4.57,2.8,6.5,0.017
03,Baja California Sur,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,1781,21.05,6.11,36.26,0.0118
03,Baja California Sur,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,1781,32.68,7.62,57.19,0.0183
03,Baja California Sur,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,1781,27.63,0.77,55.14,0.0155
03,Baja California Sur,PM25,with_og,short_term,asthma,ed_visits,j45_j46,total,ru_2023,lineal,main,269,4.54,2.78,6.45,0.0169
03,Baja California Sur,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,1781,20.94,6.08,36.07,0.0118
03,Baja California Sur,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,1781,32.51,7.58,56.89,0.0183
03,Baja California Sur,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,1781,27.48,0.76,54.85,0.0154
04,Campeche,NO2,no_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,371,0.36,0.2,0.53,0.001
04,Campeche,NO2,no_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,567,0.38,0.22,0.54,7e-4
04,Campeche,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,2933,3.53,0.56,6.25,0.0012
