cveent,entidad,pollutant,exp_type,temporality,cause,health_outcome,icd_10,age_group,reference,crf_type,analysis_type,total_incid,ab_incid_mean,ab_incid_lower,ab_incid_upper,paf
01,Aguascalientes,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1214,75.49,31.69,101.37,0.0622
01,Aguascalientes,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1214,74.78,31.38,100.42,0.0616
01,Aguascalientes,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1214,253.6,89.2,393.01,0.2089
01,Aguascalientes,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1214,253.42,89.13,392.74,0.2087
02,Baja California,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2426,11.47,4.8,15.43,0.0047
02,Baja California,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2426,11.36,4.75,15.28,0.0047
02,Baja California,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2426,736.64,270.84,1096.49,0.3036
02,Baja California,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2426,733.7,269.6,1092.69,0.3024
03,Baja California Sur,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,717,13.1,5.43,17.73,0.0183
03,Baja California Sur,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,717,12.97,5.37,17.55,0.0181
03,Baja California Sur,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,717,85.86,29.18,137.49,0.1197
03,Baja California Sur,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,717,85.39,29.01,136.78,0.1191
04,Campeche,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,673,10.08,4.17,13.65,0.015
04,Campeche,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,673,9.99,4.13,13.53,0.0148
04,Campeche,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,673,166.47,59.54,254.02,0.2474
04,Campeche,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,673,167.05,59.77,254.81,0.2482
05,Coahuila,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2217,144.95,61.42,193.53,0.0654
05,Coahuila,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2217,145.2,61.51,193.9,0.0655
05,Coahuila,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2217,365.97,126.65,575.97,0.1651
05,Coahuila,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2217,366.08,126.69,576.13,0.1651
06,Colima,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,789,21.74,9.03,29.37,0.0276
06,Colima,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,789,21.5,8.93,29.04,0.0272
06,Colima,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,789,172.44,60.99,265.89,0.2186
06,Colima,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,789,172.44,60.99,265.9,0.2186
07,Chiapas,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2395,67.5,28.14,91,0.0282
07,Chiapas,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2395,69.5,28.99,93.67,0.029
07,Chiapas,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2395,718.67,264.32,1069.82,0.3001
07,Chiapas,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2395,723.1,266.2,1075.52,0.3019
08,Chihuahua,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,4012,240.06,101.11,321.65,0.0598
08,Chihuahua,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,4012,238.47,100.43,319.56,0.0594
08,Chihuahua,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,4012,612.74,215.36,952.31,0.1527
08,Chihuahua,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,4012,611.96,215.08,951.12,0.1525
09,Ciudad de México,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,7286,3134,1513.29,3882.79,0.4301
