cvemun,pollutant,tot_pop_mun,exp_type,exposure_weigh,crf_id,temporality,cause,health_outcome,icd_10,age_group,crf_mean_10,crf_lower_10,crf_upper_10,interval_ug_m3,beta_mean,beta_lower,beta_upper,reference,crf_type,analysis_type,paf_mean,paf_lower,paf_upper,total_incid,ab_incid_mean,ab_incid_lower,ab_incid_upper
01001,NO2,1017043.001017043,no_og,5.402697102879812,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.06434493280814209,0.027016304802600147,0.08637709929378509,1057,68.01259397820618,28.556234176348354,91.30059395353084
01001,NO2,1017043.001017043,with_og,5.3496670801657675,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.06373392725797819,0.026754706618717834,0.08556662696542269,1057,67.36676111168295,28.27972489598475,90.44392470245178
01001,PM25,1017043.001017043,no_og,8.062277183749716,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.21018643504745513,0.0739635745787358,0.3255830577102669,1057,222.16706184516008,78.17949832972374,344.1412919997521
01001,PM25,1017043.001017043,with_og,8.055384401735637,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.2100270892649651,0.07390273640505,0.32535589771842105,1057,221.99863335306813,78.11519238013786,343.90118388837107
01002,NO2,56684,no_og,1.9276706306025564,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.023450705360390286,0.00972437227948394,0.03171825915611942,5,0.11725352680195143,0.0486218613974197,0.1585912957805971
01002,NO2,56684,with_og,1.9054184295528376,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.023183163073793554,0.009612659583306224,0.03135791925358756,5,0.11591581536896778,0.04806329791653112,0.1567895962679378
01002,PM25,56684,no_og,6.908457590778755,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.18305994721403177,0.06372368104718142,0.28647187979901284,5,0.9152997360701588,0.31861840523590707,1.4323593989950643
01002,PM25,56684,with_og,6.906989645777187,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.1830248488448747,0.06371058150401135,0.28642070311407125,5,0.9151242442243734,0.3185529075200567,1.4321035155703563
01003,NO2,60580.9999878838,no_og,2.6407286525922715,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.03198524583611542,0.01329747288755836,0.04319442994803842,15,0.47977868754173136,0.1994620933133754,0.6479164492205762
01003,NO2,60580.9999878838,with_og,2.6182562147094885,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.03171741656288799,0.013185061543756883,0.04283483604259513,15,0.47576124844331985,0.19777592315635326,0.642522540638927
01003,PM25,60580.9999878838,no_og,7.037239345957802,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.18613324032011608,0.06487218148165022,0.29094731788445205,15,2.791998604801741,0.9730827222247533,4.364209768266781
01003,PM25,60580.9999878838,with_og,7.035191597474854,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.18608446270385062,0.0648539302945795,0.29087637439583885,15,2.7912669405577595,0.9728089544186925,4.363145615937583
01004,NO2,18441.9999981558,no_og,1.0807058475261324,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.013215622994250815,0.0054634552514590436,0.017907969474884752,NA,0,0,0
01004,NO2,18441.9999981558,with_og,1.065460176002882,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.013030408324304197,0.005386589467724782,0.017657582955342904,NA,0,0,0
01004,PM25,18441.9999981558,no_og,6.894416,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.18272415287018473,0.06359837018988698,0.2859822001165974,NA,0,0,0
01004,PM25,18441.9999981558,with_og,6.8925,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.18267832243505452,0.06358127000051414,0.2859153564030611,NA,0,0,0
01005,NO2,139598.9999860401,no_og,4.906313159257769,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.05861001922744328,0.024564878802026128,0.07876253430007545,82,4.806021576650349,2.0143200617661425,6.458527812606187
01005,NO2,139598.9999860401,with_og,4.859606944172451,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.058068598461611054,0.024333899294553454,0.0780427991648576,82,4.761625073852106,1.9953797421533832,6.399509531518323
01005,PM25,139598.9999860401,no_og,7.983670505482232,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.2083673151355924,0.07326952658944227,0.32298793529060116,82,17.086119841118578,6.0081011803342665,26.485010693829295
01005,PM25,139598.9999860401,with_og,7.9771464019878255,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.20821614581665665,0.07321189944799233,0.3227721001439174,82,17.073723956965846,6.003375754735371,26.467312211801225
01006,NO2,48967.9999902064,no_og,2.9723726796756975,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.035929217036908837,0.014954930287881673,0.04848556827633569,13,0.46707982147981486,0.19441409374246174,0.630312387592364
01006,NO2,48967.9999902064,with_og,2.9408684064561035,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.0355552542319179,0.014797601129445143,0.047984200890196796,13,0.4622183050149327,0.19236881468278685,0.6237946115725583
01006,PM25,48967.9999902064,no_og,6.8944160000000005,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.18272415287018473,0.06359837018988698,0.28598220011659753,13,2.3754139873124016,0.8267788124685308,3.717768601515768
01006,PM25,48967.9999902064,with_og,6.8925,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.18267832243505452,0.06358127000051414,0.2859153564030611,13,2.374818191655709,0.8265565100066838,3.716899633239794
01007,NO2,60350.9999939649,no_og,1.4405283396727244,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.017576912125744863,0.007275888407327858,0.02379900336012016,4,0.07030764850297945,0.029103553629311434,0.09519601344048063
01007,NO2,60350.9999939649,with_og,1.4228388864516066,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.017362955342042605,0.007186863521645217,0.023510218296320794,4,0.06945182136817042,0.02874745408658087,0.09404087318528317
01007,PM25,60350.9999939649,no_og,6.894416,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.18272415287018473,0.06359837018988698,0.2859822001165974,4,0.7308966114807389,0.25439348075954793,1.1439288004663897
01007,PM25,60350.9999939649,with_og,6.8925,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.18267832243505452,0.06358127000051414,0.2859153564030611,4,0.7307132897402181,0.25432508000205656,1.1436614256122444
01008,NO2,10013.0000010013,no_og,1.2492168655041125,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.015260494378465482,0.006312660245588964,0.02067125417411416,NA,0,0,0
01008,NO2,10013.0000010013,with_og,1.2340943867198872,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.01507715718687928,0.006236480703104145,0.020423589972156986,NA,0,0,0
01008,PM25,10013.0000010013,no_og,6.643913823145992,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.17671032799041866,0.06136000210450565,0.2771896141224833,NA,0,0,0
01008,PM25,10013.0000010013,with_og,6.642484381406037,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.17667588460384753,0.06134721395327907,0.2771391315232598,NA,0,0,0
01009,NO2,23227,no_og,2.3186330974060705,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.028139382913973277,0.011685066344334909,0.03802746778049628,NA,0,0,0
01009,NO2,23227,with_og,2.2932407229847898,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.0278355456896252,0.011557840425607707,0.037618946178363914,NA,0,0,0
01009,PM25,23227,no_og,6.8944160000000005,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.18272415287018473,0.06359837018988698,0.28598220011659753,NA,0,0,0
01009,PM25,23227,with_og,6.8925,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.18267832243505452,0.06358127000051414,0.2859153564030611,NA,0,0,0
01010,NO2,21706.000000000004,no_og,2.0035928507259504,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.024362980710059746,0.0101054296717256,0.03294669321396058,14,0.34108172994083646,0.14147601540415838,0.4612537049954481
01010,NO2,21706.000000000004,with_og,1.978712693693784,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.02406411664334713,0.009980571083507743,0.032544299939780516,14,0.3368976330068598,0.1397279951691084,0.4556201991569272
01010,PM25,21706.000000000004,no_og,7.826677857057024,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.20472163320551182,0.0718818220571228,0.3177750510399579,14,2.8661028648771656,1.0063455087997193,4.448850714559411
