cveent,entidad,pollutant,exp_type,temporality,cause,health_outcome,icd_10,age_group,reference,crf_type,analysis_type,total_dths,ab_dths_mean,ab_dths_lower,ab_dths_upper,paf
01,Aguascalientes,NO2,no_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,5856,134.02,81.59,184.97,0.0229
01,Aguascalientes,NO2,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,199,3.59,1.82,5.31,0.018
01,Aguascalientes,NO2,no_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,1494,33.83,20.6,52.99,0.0226
01,Aguascalientes,NO2,no_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,707,15.97,9.72,25.02,0.0226
01,Aguascalientes,NO2,with_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,5856,132.71,80.79,183.17,0.0227
01,Aguascalientes,NO2,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,199,3.56,1.8,5.26,0.0179
01,Aguascalientes,NO2,with_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,1494,33.5,20.4,52.48,0.0224
01,Aguascalientes,NO2,with_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,707,15.82,9.63,24.78,0.0224
01,Aguascalientes,O3,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,199,89.7,52.16,108.82,0.4508
01,Aguascalientes,O3,no_og,long_term,copd,mortality,j45_j46,total,gbd_2021,lineal,main,199,62.18,13.97,97.64,0.3125
01,Aguascalientes,O3,no_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,662,261.25,122.01,362.07,0.3946
01,Aguascalientes,O3,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,199,89.98,52.35,109.12,0.4522
01,Aguascalientes,O3,with_og,long_term,copd,mortality,j45_j46,total,gbd_2021,lineal,main,199,62.4,14.02,97.93,0.3136
01,Aguascalientes,O3,with_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,662,262.11,122.48,363.09,0.3959
01,Aguascalientes,PM25,no_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,5856,402.36,278.13,524.18,0.0687
01,Aguascalientes,PM25,no_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,1494,133.49,109.39,156.66,0.0894
01,Aguascalientes,PM25,with_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,5856,402.07,277.92,523.8,0.0687
01,Aguascalientes,PM25,with_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,1494,133.4,109.31,156.55,0.0893
02,Baja California,NO2,no_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,18240,61.91,37.67,85.48,0.0034
02,Baja California,NO2,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,396,1.08,0.55,1.59,0.0027
02,Baja California,NO2,no_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,5790,24.98,15.2,39.14,0.0043
02,Baja California,NO2,no_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,2741,12.31,7.49,19.29,0.0045
02,Baja California,NO2,with_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,18240,61.29,37.29,84.63,0.0034
02,Baja California,NO2,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,396,1.07,0.54,1.58,0.0027
02,Baja California,NO2,with_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,5790,24.73,15.05,38.75,0.0043
02,Baja California,NO2,with_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,2741,12.19,7.41,19.1,0.0044
02,Baja California,O3,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,396,168.17,96.85,205.19,0.4247
02,Baja California,O3,no_og,long_term,copd,mortality,j45_j46,total,gbd_2021,lineal,main,396,115.72,25.71,183.48,0.2922
02,Baja California,O3,no_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,1681,622.28,287.63,870.27,0.3702
02,Baja California,O3,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,396,168.34,96.96,205.37,0.4251
02,Baja California,O3,with_og,long_term,copd,mortality,j45_j46,total,gbd_2021,lineal,main,396,115.85,25.75,183.65,0.2926
02,Baja California,O3,with_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,1681,622.92,287.97,871.04,0.3706
02,Baja California,PM25,no_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,18240,1847.5,1285.13,2391.88,0.1013
02,Baja California,PM25,no_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,5790,745.75,614.01,871.16,0.1288
02,Baja California,PM25,with_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,18240,1839.31,1279.32,2381.48,0.1008
02,Baja California,PM25,with_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,5790,742.54,611.32,867.47,0.1282
03,Baja California Sur,NO2,no_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,3564,25.25,15.32,34.95,0.0071
03,Baja California Sur,NO2,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,77,0.44,0.22,0.65,0.0057
03,Baja California Sur,NO2,no_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,1147,8.1,4.92,12.75,0.0071
03,Baja California Sur,NO2,no_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,705,4.92,2.99,7.74,0.007
03,Baja California Sur,NO2,with_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,3564,24.98,15.16,34.59,0.007
03,Baja California Sur,NO2,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,77,0.44,0.22,0.65,0.0057
03,Baja California Sur,NO2,with_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,1147,8.02,4.86,12.61,0.007
03,Baja California Sur,NO2,with_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,705,4.87,2.95,7.66,0.0069
03,Baja California Sur,O3,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,77,28.62,16.17,35.32,0.3717
