level,pollutant,exp_type,temporality,cause,health_outcome,icd_10,age_group,reference,crf_type,analysis_type,total_dths,ab_dths_mean,ab_dths_lower,ab_dths_upper,paf
Mexico,NO2,no_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,677132,31588.79,19623.06,42765.04,0.0467
Mexico,NO2,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,18490,765.42,397.29,1107.42,0.0414
Mexico,NO2,no_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,221470,10042.24,6239.3,15282.08,0.0453
Mexico,NO2,no_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,136628,5977.8,3712.87,9101.1,0.0438
Mexico,NO2,with_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,677132,31524.92,19578.84,42687.96,0.0466
Mexico,NO2,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,18490,763.01,395.95,1104.19,0.0413
Mexico,NO2,with_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,221470,10026.56,6228.05,15263.4,0.0453
Mexico,NO2,with_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,136628,5971.04,3707.76,9093.95,0.0437
Mexico,O3,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,18490,8132.26,4719.43,9878.59,0.4398
Mexico,O3,no_og,long_term,copd,mortality,j45_j46,total,gbd_2021,lineal,main,18510,5633.97,1262.86,8865.69,0.3044
Mexico,O3,no_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,65127,24944.01,11618.14,34663.36,0.383
Mexico,O3,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,18490,8188.54,4757.29,9940.49,0.4429
Mexico,O3,with_og,long_term,copd,mortality,j45_j46,total,gbd_2021,lineal,main,18510,5677.63,1274.19,8924.72,0.3067
Mexico,O3,with_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,65127,25116.17,11710.99,34869.6,0.3856
Mexico,PM25,no_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,677132,75884.53,53103.54,97676.31,0.1121
Mexico,PM25,no_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,221470,31540.58,26083.44,36690.72,0.1424
Mexico,PM25,with_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,677132,75961.13,53156.8,97775.43,0.1122
Mexico,PM25,with_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,221470,31576.48,26113.06,36732.57,0.1426
