cveent,entidad,pollutant,exp_type,temporality,cause,health_outcome,icd_10,age_group,reference,crf_type,analysis_type,total_erv,ab_erv_mean,ab_erv_lower,ab_erv_upper,paf
01,Aguascalientes,NO2,no_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,607,1.64,0.91,2.37,0.0027
01,Aguascalientes,NO2,no_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,896,1.7,0.98,2.43,0.0019
01,Aguascalientes,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,5103,12.79,2.04,22.7,0.0025
01,Aguascalientes,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,5103,16.78,2.04,31.15,0.0033
01,Aguascalientes,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,5103,16.78,2.04,31.15,0.0033
01,Aguascalientes,NO2,with_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,607,1.63,0.9,2.35,0.0027
01,Aguascalientes,NO2,with_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,896,1.69,0.97,2.4,0.0019
01,Aguascalientes,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,5103,12.58,2.01,22.32,0.0025
01,Aguascalientes,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,5103,16.5,2.01,30.63,0.0032
01,Aguascalientes,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,5103,16.5,2.01,30.63,0.0032
01,Aguascalientes,O3,no_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,607,26.99,6.13,49.75,0.0445
01,Aguascalientes,O3,no_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,896,35.64,22.49,48.56,0.0398
01,Aguascalientes,O3,with_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,606,27.08,6.15,49.91,0.0447
01,Aguascalientes,O3,with_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,894,35.74,22.55,48.69,0.04
