level,pollutant,exp_type,temporality,cause,health_outcome,icd_10,age_group,reference,crf_type,analysis_type,total_erv,ab_erv_mean,ab_erv_lower,ab_erv_upper,paf
Mexico,NO2,no_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,28568,112.28,62.14,161.8,0.0039
Mexico,NO2,no_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,47305,131.74,75.6,187.42,0.0028
Mexico,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,264191,892.49,142.45,1581.27,0.0034
Mexico,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,264191,1169.65,142.45,2167.32,0.0044
Mexico,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,264191,1169.65,142.45,2167.32,0.0044
Mexico,NO2,with_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,28568,112.45,62.24,162.06,0.0039
Mexico,NO2,with_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,47305,131.83,75.65,187.55,0.0028
Mexico,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,264191,893.55,142.61,1583.16,0.0034
Mexico,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,264191,1171.04,142.61,2169.95,0.0044
Mexico,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,264191,1171.04,142.61,2169.95,0.0044
Mexico,O3,no_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,28568,1214.71,275.8,2239.58,0.0425
Mexico,O3,no_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,47305,1797.84,1134.05,2449.49,0.038
Mexico,O3,with_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,28470,1221.67,277.42,2252.06,0.0429
Mexico,O3,with_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,47142,1807.99,1140.52,2463.17,0.0384
Mexico,PM25,no_og,short_term,asthma,ed_visits,j45_j46,total,ru_2023,lineal,main,47305,2449.56,1518.59,3437.35,0.0518
Mexico,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,264191,8741.21,2570.45,14855.63,0.0331
Mexico,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,264191,13431.95,3203.69,23005.38,0.0508
Mexico,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,264191,11405.5,324.63,22219.34,0.0432
Mexico,PM25,with_og,short_term,asthma,ed_visits,j45_j46,total,ru_2023,lineal,main,47305,2451.79,1520.04,3440.29,0.0518
Mexico,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,264191,8750.67,2573.4,14870.75,0.0331
Mexico,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,264191,13445.82,3207.35,23026.81,0.0509
Mexico,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,264191,11417.53,325.01,22240.23,0.0432
