cveent,entidad,pollutant,exp_type,temporality,cause,health_outcome,icd_10,age_group,reference,crf_type,analysis_type,total_incid,ab_incid_mean,ab_incid_lower,ab_incid_upper,paf
01,Aguascalientes,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1214,21.97,9.1,29.74,0.0181
01,Aguascalientes,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1214,21.7,8.98,29.38,0.0179
01,Aguascalientes,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1214,253.6,89.2,393.01,0.2089
01,Aguascalientes,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1214,253.42,89.13,392.74,0.2087
02,Baja California,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2426,50.58,20.96,68.43,0.0208
02,Baja California,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2426,49.93,20.69,67.56,0.0206
02,Baja California,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2426,736.64,270.84,1096.49,0.3036
02,Baja California,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2426,733.7,269.6,1092.69,0.3024
03,Baja California Sur,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,717,1.75,0.72,2.37,0.0024
03,Baja California Sur,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,717,1.73,0.71,2.35,0.0024
03,Baja California Sur,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,717,85.86,29.18,137.49,0.1197
03,Baja California Sur,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,717,85.39,29.01,136.78,0.1191
04,Campeche,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,673,4.81,1.98,6.52,0.0071
04,Campeche,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,673,4.77,1.97,6.46,0.0071
04,Campeche,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,673,166.47,59.54,254.02,0.2474
04,Campeche,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,673,167.05,59.77,254.81,0.2482
05,Coahuila,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2217,21.81,9.01,29.57,0.0098
05,Coahuila,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2217,22.12,9.14,29.98,0.01
05,Coahuila,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2217,365.97,126.65,575.97,0.1651
05,Coahuila,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2217,366.08,126.69,576.13,0.1651
06,Colima,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,789,10.53,4.36,14.27,0.0133
06,Colima,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,789,10.41,4.3,14.1,0.0132
06,Colima,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,789,172.44,60.99,265.89,0.2186
06,Colima,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,789,172.44,60.99,265.9,0.2186
07,Chiapas,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2395,26.09,10.78,35.37,0.0109
07,Chiapas,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2395,27.03,11.17,36.63,0.0113
07,Chiapas,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2395,718.67,264.32,1069.82,0.3001
07,Chiapas,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2395,723.1,266.2,1075.52,0.3019
08,Chihuahua,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,4012,50.29,20.82,68.09,0.0125
08,Chihuahua,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,4012,49.85,20.64,67.49,0.0124
08,Chihuahua,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,4012,612.74,215.36,952.31,0.1527
08,Chihuahua,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,4012,611.96,215.08,951.12,0.1525
09,Ciudad de México,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,7286,450.46,188.99,604.98,0.0618
09,Ciudad de México,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,7286,445.38,186.82,598.24,0.0611
09,Ciudad de México,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,7286,3975.88,1650.93,5333.9,0.5457
09,Ciudad de México,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,7286,3972.52,1649.07,5330.59,0.5452
10,Durango,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1413,11.89,4.91,16.13,0.0084
10,Durango,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1413,11.8,4.87,16,0.0084
10,Durango,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1413,186.99,63.88,297.93,0.1323
10,Durango,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1413,187.23,63.97,298.3,0.1325
11,Guanajuato,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1667,36.97,15.33,50.01,0.0222
11,Guanajuato,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1667,36.45,15.11,49.31,0.0219
11,Guanajuato,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1667,425.32,152.67,646.89,0.2551
11,Guanajuato,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1667,424.44,152.32,645.68,0.2546
12,Guerrero,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1123,12.24,5.06,16.58,0.0109
12,Guerrero,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1123,12.08,5,16.37,0.0108
12,Guerrero,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1123,216.46,76.12,335.79,0.1928
12,Guerrero,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1123,216.9,76.27,336.45,0.1931
13,Hidalgo,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1667,44.1,18.32,59.58,0.0265
13,Hidalgo,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1667,44.94,18.67,60.72,0.027
13,Hidalgo,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1667,636.56,243.16,916.62,0.3819
13,Hidalgo,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1667,638.43,243.98,918.97,0.383
14,Jalisco,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,5059,134.15,55.71,181.28,0.0265
14,Jalisco,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,5059,132.74,55.12,179.39,0.0262
14,Jalisco,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,5059,1399.98,507.68,2109.51,0.2767
14,Jalisco,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,5059,1396.92,506.43,2105.43,0.2761
15,México,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,6594,314.11,131.27,422.85,0.0476
15,México,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,6594,310.57,129.77,418.12,0.0471
15,México,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,6594,3240.85,1309.89,4447.81,0.4915
15,México,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,6594,3239.25,1309.08,4446.07,0.4912
16,Michoacán,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2056,41.14,17.04,55.67,0.02
16,Michoacán,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2056,40.64,16.84,55,0.0198
16,Michoacán,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2056,537.9,193.97,814.83,0.2616
16,Michoacán,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2056,537.41,193.77,814.18,0.2614
17,Morelos,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,935,35.98,14.99,48.52,0.0385
17,Morelos,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,935,35.52,14.79,47.91,0.038
17,Morelos,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,935,362.23,138.13,521.84,0.3874
17,Morelos,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,935,361.47,137.78,520.94,0.3866
18,Nayarit,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,951,11.98,4.95,16.23,0.0126
18,Nayarit,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,951,11.85,4.9,16.06,0.0125
18,Nayarit,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,951,169.06,58.78,264.85,0.1778
18,Nayarit,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,951,168.96,58.75,264.71,0.1777
19,Nuevo León,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,3308,70.95,29.42,95.96,0.0214
19,Nuevo León,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,3308,70.78,29.35,95.74,0.0214
19,Nuevo León,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,3308,825.15,295.65,1257.15,0.2494
19,Nuevo León,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,3308,826.05,295.99,1258.4,0.2497
20,Oaxaca,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1076,8.29,3.42,11.24,0.0077
20,Oaxaca,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1076,8.69,3.59,11.78,0.0081
20,Oaxaca,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1076,230.9,81.63,356.2,0.2146
20,Oaxaca,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1076,232.55,82.28,358.52,0.2161
21,Puebla,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,792,21.51,8.94,29.05,0.0272
21,Puebla,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,792,21.8,9.06,29.45,0.0275
21,Puebla,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,792,227,82.67,340.73,0.2866
21,Puebla,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,792,227.82,83.01,341.82,0.2877
22,Querétaro,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,419,7.46,3.09,10.1,0.0178
22,Querétaro,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,419,7.43,3.08,10.06,0.0177
22,Querétaro,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,419,125.7,46,187.84,0.3
22,Querétaro,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,419,125.96,46.11,188.18,0.3006
23,Quintana Roo,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1410,4.31,1.77,5.84,0.0031
23,Quintana Roo,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1410,4.26,1.76,5.78,0.003
23,Quintana Roo,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1410,234.17,80.99,368.71,0.1661
23,Quintana Roo,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1410,234.4,81.08,369.04,0.1662
24,San Luis Potosí,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1554,21.27,8.8,28.81,0.0137
24,San Luis Potosí,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1554,21.66,8.96,29.35,0.0139
24,San Luis Potosí,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1554,391.29,140.44,595.25,0.2518
24,San Luis Potosí,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,1554,392.72,141.02,597.17,0.2527
25,Sinaloa,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,3411,40.78,16.86,55.26,0.012
25,Sinaloa,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,3411,40.32,16.66,54.64,0.0118
25,Sinaloa,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,3411,570.29,197.37,897.41,0.1672
25,Sinaloa,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,3411,569.61,197.12,896.4,0.167
26,Sonora,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2700,22.12,9.13,30,0.0082
26,Sonora,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2700,21.87,9.03,29.66,0.0081
26,Sonora,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2700,353.22,120.74,562.56,0.1308
