cveent,entidad,pollutant,exp_type,temporality,cause,health_outcome,icd_10,age_group,reference,crf_type,analysis_type,total_dths,ab_dths_mean,ab_dths_lower,ab_dths_upper,paf
01,Aguascalientes,NO2,no_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,5856,40.09,24.32,55.51,0.0068
01,Aguascalientes,NO2,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,199,1.08,0.55,1.61,0.0054
01,Aguascalientes,NO2,no_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,1494,10.18,6.17,16.02,0.0068
01,Aguascalientes,NO2,no_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,707,4.81,2.92,7.57,0.0068
01,Aguascalientes,NO2,with_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,5856,39.6,24.03,54.85,0.0068
01,Aguascalientes,NO2,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,199,1.07,0.54,1.59,0.0054
01,Aguascalientes,NO2,with_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,1494,10.05,6.1,15.83,0.0067
01,Aguascalientes,NO2,with_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,707,4.75,2.88,7.48,0.0067
01,Aguascalientes,O3,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,199,52.42,28.59,66.12,0.2634
01,Aguascalientes,O3,no_og,long_term,copd,mortality,j45_j46,total,gbd_2023,lineal,main,199,28.59,14.95,44.95,0.1437
01,Aguascalientes,O3,no_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,662,149.56,65.35,220,0.2259
01,Aguascalientes,O3,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,199,52.61,28.7,66.34,0.2644
01,Aguascalientes,O3,with_og,long_term,copd,mortality,j45_j46,total,gbd_2023,lineal,main,199,28.7,15.02,45.11,0.1442
01,Aguascalientes,O3,with_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,662,150.12,65.62,220.76,0.2268
01,Aguascalientes,PM25,no_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,5856,402.36,278.13,524.18,0.0687
01,Aguascalientes,PM25,no_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,1494,133.49,109.39,156.66,0.0894
01,Aguascalientes,PM25,with_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,5856,402.07,277.92,523.8,0.0687
01,Aguascalientes,PM25,with_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,1494,133.4,109.31,156.55,0.0893
02,Baja California,NO2,no_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,18240,145.65,88.39,201.64,0.008
02,Baja California,NO2,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,396,2.58,1.3,3.82,0.0065
02,Baja California,NO2,no_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,5790,44.75,27.15,70.41,0.0077
02,Baja California,NO2,no_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,2741,20.89,12.68,32.88,0.0076
02,Baja California,NO2,with_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,18240,143.8,87.26,199.09,0.0079
02,Baja California,NO2,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,396,2.54,1.29,3.77,0.0064
02,Baja California,NO2,with_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,5790,44.18,26.81,69.52,0.0076
02,Baja California,NO2,with_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,2741,20.63,12.52,32.46,0.0075
02,Baja California,O3,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,396,97.33,52.8,123.17,0.2458
