level,pollutant,exp_type,temporality,cause,health_outcome,icd_10,age_group,reference,crf_type,analysis_type,total_dths,ab_dths_mean,ab_dths_lower,ab_dths_upper,paf
Mexico,NO2,no_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,677132,6862.54,4170.39,9487.83,0.0101
Mexico,NO2,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,18490,160.18,81.14,237.22,0.0087
Mexico,NO2,no_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,221470,2199.75,1336.75,3454.46,0.0099
Mexico,NO2,no_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,136628,1334.96,811.2,2096.52,0.0098
Mexico,NO2,with_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,677132,6855.47,4165.91,9478.44,0.0101
Mexico,NO2,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,18490,159.75,80.92,236.59,0.0086
Mexico,NO2,with_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,221470,2199.84,1336.75,3454.81,0.0099
Mexico,NO2,with_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,136628,1336.21,811.93,2098.62,0.0098
Mexico,O3,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,18490,4742.72,2584.1,5985.59,0.2565
Mexico,O3,no_og,long_term,copd,mortality,j45_j46,total,gbd_2023,lineal,main,18510,2586.72,1352.38,4069.27,0.1397
Mexico,O3,no_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,65127,14248.14,6217.4,20986.23,0.2188
Mexico,O3,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,18490,4780.74,2606.39,6031.3,0.2586
Mexico,O3,with_og,long_term,copd,mortality,j45_j46,total,gbd_2023,lineal,main,18510,2609.02,1364.47,4102.69,0.141
Mexico,O3,with_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,65127,14359.16,6269.51,21138.32,0.2205
Mexico,PM25,no_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,677132,75884.53,53103.54,97676.31,0.1121
Mexico,PM25,no_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,221470,31540.58,26083.44,36690.72,0.1424
Mexico,PM25,with_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,677132,75961.13,53156.8,97775.43,0.1122
Mexico,PM25,with_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,221470,31576.48,26113.06,36732.57,0.1426
