cvemun,pollutant,tot_pop_mun,exp_type,temporality,cause,health_outcome,icd_10,age_group,reference,crf_type,analysis_type,paf_mean,total_dths,ab_dths_mean,ab_dths_lower,ab_dths_upper
01001,PM25,1017043.001017043,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0763,4224,322.41889442252875,299.60729787827165,345.3474895497652
01001,PM25,1017043.001017043,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0763,4224,322.41889442252875,299.60729787827165,345.3474895497652
01002,PM25,56684,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0697,164,11.437115012169594,10.4732214055525,12.32576956691415
01002,PM25,56684,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0697,164,11.437115012169594,10.4732214055525,12.32576956691415
01003,PM25,60580.9999878838,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0703,282,19.813473126399746,18.20716307906356,21.31335416919405
01003,PM25,60580.9999878838,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0703,282,19.813473126399746,18.20716307906356,21.31335416919405
01004,PM25,18441.9999981558,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0697,53,3.696140827103588,3.3846386249651372,3.9833279697954267
01004,PM25,18441.9999981558,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0697,53,3.696140827103588,3.3846386249651372,3.9833279697954267
01005,PM25,139598.9999860401,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0757,413,31.282400994439573,29.0393021620891,33.44488135950646
01005,PM25,139598.9999860401,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0757,413,31.282400994439573,29.0393021620891,33.44488135950646
01006,PM25,48967.9999902064,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0697,179,12.483192604746081,11.431137997523765,13.453126539497761
01006,PM25,48967.9999902064,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0697,179,12.483192604746081,11.431137997523765,13.453126539497761
01007,PM25,60350.9999939649,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0697,198,13.808224222009631,12.6444990140207,14.88111203810367
01007,PM25,60350.9999939649,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0697,198,13.808224222009631,12.6444990140207,14.88111203810367
01008,PM25,10013.0000010013,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0682,31,2.1133254205806966,1.9206356375235811,2.296847352047889
01008,PM25,10013.0000010013,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0682,31,2.1133254205806966,1.9206356375235811,2.296847352047889
01009,PM25,23227,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0697,84,5.858034518428329,5.3643329150390855,6.313199046468223
01009,PM25,23227,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0697,84,5.858034518428329,5.3643329150390855,6.313199046468223
01010,PM25,21706.000000000004,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0746,72,5.370835005473731,4.980155738275943,5.726530491085754
01010,PM25,21706.000000000004,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0746,72,5.370835005473731,4.980155738275943,5.726530491085754
01011,PM25,73571,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0724,156,11.291589097186543,10.431197078938332,12.050128219997594
01011,PM25,73571,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0724,156,11.291589097186543,10.431197078938332,12.050128219997594
02001,PM25,464595.9999535404,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0713,2576,183.70113676912544,169.92431950151524,196.8281928545859
02001,PM25,464595.9999535404,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0713,2576,183.70113676912544,169.92431950151524,196.8281928545859
02002,PM25,1083530.9993498814,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.1289,5578,719.1149586436202,645.636825321005,793.7600471107692
02002,PM25,1083530.9993498814,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.1281,5578,714.697821114118,642.5143195373457,787.8270303604912
02003,PM25,113061,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.1177,526,61.931727438066574,56.663044567512195,67.65487157316039
02003,PM25,113061,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.1177,526,61.931727438066574,56.663044567512195,67.65487157316039
02004,PM25,2112569.997464916,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.1014,8587,871.0240387956243,813.428579216222,941.8759265475348
02004,PM25,2112569.997464916,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.1006,8587,863.9367299519838,807.2341507955598,933.5603244285437
02005,PM25,146623.9999413504,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0859,645,55.414062611347774,52.00171803164664,59.80566410691978
02005,PM25,146623.9999413504,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0852,645,54.97769124407342,51.58027693109215,59.36037375873404
02006,PM25,130854.999973829,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0584,328,19.14409663084024,15.475044219592432,21.70871057663607
02006,PM25,130854.999973829,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0584,328,19.14409663084024,15.475044219592432,21.70871057663607
03001,PM25,75076.000037538,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0543,394,21.393086240362916,16.696298297021208,24.893035000691917
03001,PM25,75076.000037538,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0531,394,20.92699817693433,16.267598730754468,24.540651548928928
03002,PM25,67360.000006736,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0584,304,17.743309072486078,14.342723910841766,20.120268339321235
