cve_ent,Entidad,Pollutant,Cause,crf_type,Reference,attributable_deaths,attrib_fraction_pct,rate_per_100k,population_at_risk
09,Ciudad de México,NO2,All-cause,lineal,kasdagli_2024,11168,18,176,6337060
15,Estado de México,NO2,All-cause,lineal,kasdagli_2024,8236,10,78,10562795
14,Jalisco,NO2,All-cause,lineal,kasdagli_2024,2532,5,49,5159420
11,Guanajuato,NO2,All-cause,lineal,kasdagli_2024,1099,3,30,3689951
19,Nuevo León,NO2,All-cause,lineal,kasdagli_2024,997,3,26,3765863
21,Puebla,NO2,All-cause,lineal,kasdagli_2024,956,3,25,3881075
30,Veracruz,NO2,All-cause,lineal,kasdagli_2024,843,2,17,4933631
08,Chihuahua,NO2,All-cause,lineal,kasdagli_2024,524,2,22,2363199
22,Querétaro,NO2,All-cause,lineal,kasdagli_2024,473,4,31,1548350
05,Coahuila,NO2,All-cause,lineal,kasdagli_2024,461,3,24,1944444
16,Michoacán,NO2,All-cause,lineal,kasdagli_2024,440,2,16,2797877
24,San Luis Potosí,NO2,All-cause,lineal,kasdagli_2024,430,3,25,1709358
13,Hidalgo,NO2,All-cause,lineal,kasdagli_2024,421,3,22,1919261
17,Morelos,NO2,All-cause,lineal,kasdagli_2024,394,3,32,1239560
07,Chiapas,NO2,All-cause,lineal,kasdagli_2024,280,1,9,2976828
28,Tamaulipas,NO2,All-cause,lineal,kasdagli_2024,265,2,12,2228284
26,Sonora,NO2,All-cause,lineal,kasdagli_2024,238,1,13,1858606
10,Durango,NO2,All-cause,lineal,kasdagli_2024,232,3,22,1072523
20,Oaxaca,NO2,All-cause,lineal,kasdagli_2024,214,1,9,2405118
27,Tabasco,NO2,All-cause,lineal,kasdagli_2024,196,2,14,1406926
29,Tlaxcala,NO2,All-cause,lineal,kasdagli_2024,194,3,24,807892
31,Yucatán,NO2,All-cause,lineal,kasdagli_2024,149,1,10,1505851
12,Guerrero,NO2,All-cause,lineal,kasdagli_2024,145,1,7,1940296
25,Sinaloa,NO2,All-cause,lineal,kasdagli_2024,138,1,7,1881064
01,Aguascalientes,NO2,All-cause,lineal,kasdagli_2024,133,2,15,859992
18,Nayarit,NO2,All-cause,lineal,kasdagli_2024,96,2,13,755026
32,Zacatecas,NO2,All-cause,lineal,kasdagli_2024,65,1,7,936732
02,Baja California,NO2,All-cause,lineal,kasdagli_2024,61,0,2,2483333
06,Colima,NO2,All-cause,lineal,kasdagli_2024,53,1,11,467657
23,Quintana Roo,NO2,All-cause,lineal,kasdagli_2024,39,1,3,1215708
04,Campeche,NO2,All-cause,lineal,kasdagli_2024,29,1,5,561015
03,Baja California Sur,NO2,All-cause,lineal,kasdagli_2024,25,1,5,527692
09,Ciudad de México,NO2,COPD,lineal,kasdagli_2024,308,15,5,6337060
15,Estado de México,NO2,COPD,lineal,kasdagli_2024,207,7,2,10562795
14,Jalisco,NO2,COPD,lineal,kasdagli_2024,63,4,1,5159420
11,Guanajuato,NO2,COPD,lineal,kasdagli_2024,23,3,1,3689951
21,Puebla,NO2,COPD,lineal,kasdagli_2024,17,2,0,3881075
30,Veracruz,NO2,COPD,lineal,kasdagli_2024,15,1,0,4933631
24,San Luis Potosí,NO2,COPD,lineal,kasdagli_2024,13,2,1,1709358
19,Nuevo León,NO2,COPD,lineal,kasdagli_2024,12,2,0,3765863
13,Hidalgo,NO2,COPD,lineal,kasdagli_2024,11,2,1,1919261
16,Michoacán,NO2,COPD,lineal,kasdagli_2024,10,1,0,2797877
17,Morelos,NO2,COPD,lineal,kasdagli_2024,10,2,1,1239560
08,Chihuahua,NO2,COPD,lineal,kasdagli_2024,9,1,0,2363199
22,Querétaro,NO2,COPD,lineal,kasdagli_2024,8,3,1,1548350
05,Coahuila,NO2,COPD,lineal,kasdagli_2024,7,2,0,1944444
10,Durango,NO2,COPD,lineal,kasdagli_2024,6,2,1,1072523
26,Sonora,NO2,COPD,lineal,kasdagli_2024,5,1,0,1858606
07,Chiapas,NO2,COPD,lineal,kasdagli_2024,4,1,0,2976828
29,Tlaxcala,NO2,COPD,lineal,kasdagli_2024,4,2,1,807892
28,Tamaulipas,NO2,COPD,lineal,kasdagli_2024,4,1,0,2228284
20,Oaxaca,NO2,COPD,lineal,kasdagli_2024,4,1,0,2405118
01,Aguascalientes,NO2,COPD,lineal,kasdagli_2024,4,2,0,859992
31,Yucatán,NO2,COPD,lineal,kasdagli_2024,3,1,0,1505851
27,Tabasco,NO2,COPD,lineal,kasdagli_2024,3,1,0,1406926
18,Nayarit,NO2,COPD,lineal,kasdagli_2024,3,1,0,755026
25,Sinaloa,NO2,COPD,lineal,kasdagli_2024,3,1,0,1881064
12,Guerrero,NO2,COPD,lineal,kasdagli_2024,3,1,0,1940296
32,Zacatecas,NO2,COPD,lineal,kasdagli_2024,2,1,0,936732
02,Baja California,NO2,COPD,lineal,kasdagli_2024,1,0,0,2483333
06,Colima,NO2,COPD,lineal,kasdagli_2024,1,1,0,467657
23,Quintana Roo,NO2,COPD,lineal,kasdagli_2024,1,0,0,1215708
04,Campeche,NO2,COPD,lineal,kasdagli_2024,1,0,0,561015
03,Baja California Sur,NO2,COPD,lineal,kasdagli_2024,0,1,0,527692
09,Ciudad de México,NO2,Cardiovascular disease,lineal,kasdagli_2024,3659,18,58,6337060
15,Estado de México,NO2,Cardiovascular disease,lineal,kasdagli_2024,2474,10,23,10562795
14,Jalisco,NO2,Cardiovascular disease,lineal,kasdagli_2024,760,5,15,5159420
11,Guanajuato,NO2,Cardiovascular disease,lineal,kasdagli_2024,357,3,10,3689951
19,Nuevo León,NO2,Cardiovascular disease,lineal,kasdagli_2024,342,3,9,3765863
21,Puebla,NO2,Cardiovascular disease,lineal,kasdagli_2024,319,3,8,3881075
30,Veracruz,NO2,Cardiovascular disease,lineal,kasdagli_2024,282,1,6,4933631
08,Chihuahua,NO2,Cardiovascular disease,lineal,kasdagli_2024,165,2,7,2363199
16,Michoacán,NO2,Cardiovascular disease,lineal,kasdagli_2024,150,2,5,2797877
05,Coahuila,NO2,Cardiovascular disease,lineal,kasdagli_2024,145,3,7,1944444
24,San Luis Potosí,NO2,Cardiovascular disease,lineal,kasdagli_2024,144,2,8,1709358
13,Hidalgo,NO2,Cardiovascular disease,lineal,kasdagli_2024,142,3,7,1919261
22,Querétaro,NO2,Cardiovascular disease,lineal,kasdagli_2024,140,4,9,1548350
17,Morelos,NO2,Cardiovascular disease,lineal,kasdagli_2024,124,3,10,1239560
28,Tamaulipas,NO2,Cardiovascular disease,lineal,kasdagli_2024,91,2,4,2228284
10,Durango,NO2,Cardiovascular disease,lineal,kasdagli_2024,85,3,8,1072523
07,Chiapas,NO2,Cardiovascular disease,lineal,kasdagli_2024,81,1,3,2976828
26,Sonora,NO2,Cardiovascular disease,lineal,kasdagli_2024,78,1,4,1858606
20,Oaxaca,NO2,Cardiovascular disease,lineal,kasdagli_2024,69,1,3,2405118
27,Tabasco,NO2,Cardiovascular disease,lineal,kasdagli_2024,69,1,5,1406926
29,Tlaxcala,NO2,Cardiovascular disease,lineal,kasdagli_2024,65,3,8,807892
31,Yucatán,NO2,Cardiovascular disease,lineal,kasdagli_2024,50,1,3,1505851
12,Guerrero,NO2,Cardiovascular disease,lineal,kasdagli_2024,46,1,2,1940296
25,Sinaloa,NO2,Cardiovascular disease,lineal,kasdagli_2024,44,1,2,1881064
01,Aguascalientes,NO2,Cardiovascular disease,lineal,kasdagli_2024,34,2,4,859992
18,Nayarit,NO2,Cardiovascular disease,lineal,kasdagli_2024,27,2,4,755026
02,Baja California,NO2,Cardiovascular disease,lineal,kasdagli_2024,25,0,1,2483333
32,Zacatecas,NO2,Cardiovascular disease,lineal,kasdagli_2024,21,1,2,936732
06,Colima,NO2,Cardiovascular disease,lineal,kasdagli_2024,14,1,3,467657
04,Campeche,NO2,Cardiovascular disease,lineal,kasdagli_2024,10,1,2,561015
23,Quintana Roo,NO2,Cardiovascular disease,lineal,kasdagli_2024,10,1,1,1215708
03,Baja California Sur,NO2,Cardiovascular disease,lineal,kasdagli_2024,8,1,2,527692
09,Ciudad de México,NO2,Ischemic heart disease,lineal,kasdagli_2024,2118,18,33,6337060
15,Estado de México,NO2,Ischemic heart disease,lineal,kasdagli_2024,1503,10,14,10562795
14,Jalisco,NO2,Ischemic heart disease,lineal,kasdagli_2024,403,5,8,5159420
11,Guanajuato,NO2,Ischemic heart disease,lineal,kasdagli_2024,231,3,6,3689951
19,Nuevo León,NO2,Ischemic heart disease,lineal,kasdagli_2024,221,3,6,3765863
21,Puebla,NO2,Ischemic heart disease,lineal,kasdagli_2024,198,3,5,3881075
30,Veracruz,NO2,Ischemic heart disease,lineal,kasdagli_2024,185,1,4,4933631
08,Chihuahua,NO2,Ischemic heart disease,lineal,kasdagli_2024,101,2,4,2363199
16,Michoacán,NO2,Ischemic heart disease,lineal,kasdagli_2024,95,2,3,2797877
05,Coahuila,NO2,Ischemic heart disease,lineal,kasdagli_2024,92,2,5,1944444
22,Querétaro,NO2,Ischemic heart disease,lineal,kasdagli_2024,81,4,5,1548350
17,Morelos,NO2,Ischemic heart disease,lineal,kasdagli_2024,79,3,6,1239560
13,Hidalgo,NO2,Ischemic heart disease,lineal,kasdagli_2024,77,2,4,1919261
24,San Luis Potosí,NO2,Ischemic heart disease,lineal,kasdagli_2024,76,2,4,1709358
10,Durango,NO2,Ischemic heart disease,lineal,kasdagli_2024,63,3,6,1072523
28,Tamaulipas,NO2,Ischemic heart disease,lineal,kasdagli_2024,58,2,3,2228284
07,Chiapas,NO2,Ischemic heart disease,lineal,kasdagli_2024,52,1,2,2976828
26,Sonora,NO2,Ischemic heart disease,lineal,kasdagli_2024,49,1,3,1858606
27,Tabasco,NO2,Ischemic heart disease,lineal,kasdagli_2024,44,1,3,1406926
29,Tlaxcala,NO2,Ischemic heart disease,lineal,kasdagli_2024,43,3,5,807892
20,Oaxaca,NO2,Ischemic heart disease,lineal,kasdagli_2024,40,1,2,2405118
31,Yucatán,NO2,Ischemic heart disease,lineal,kasdagli_2024,30,1,2,1505851
12,Guerrero,NO2,Ischemic heart disease,lineal,kasdagli_2024,29,1,1,1940296
25,Sinaloa,NO2,Ischemic heart disease,lineal,kasdagli_2024,25,1,1,1881064
01,Aguascalientes,NO2,Ischemic heart disease,lineal,kasdagli_2024,16,2,2,859992
32,Zacatecas,NO2,Ischemic heart disease,lineal,kasdagli_2024,13,1,1,936732
